"RowNumNumRep","Var","flowering23yn","flowering12yn","flowering7yn","flowering4yn","nodesize_mean","spurdiam_mean"
"18.7.R2","Marsanne",0,0,1,1,4.705,6.54
"34.1.R3","Macabeo",0,0,1,1,4.545,6.37
"32.3.R2","Zinfandel/Primitivo",0,0,1,1,3.7325,5.23
"22.7.R8","Furmint",0,0,1,1,3.7325,5.765
"17.3.R6","Alicante Bouchet",0,0,1,1,3.065,3.81
"14.1.R7","Cabernet Sauvignon",0,0,1,1,4.605,5.675
"35.3.R6","Tempranillo",0,0,0,0,4.305,7.29
"20.4.R6","Viognier",0,0,1,1,3.7425,5.365
"42.7.R2","Early Muscat",0,0,1,1,3.4825,6.255
"16.1.R7","Sauvignon blanc",0,0,0,0,3.975,6.29
"17.3.R2","Alicante Bouchet",0,0,1,1,4.27,6.69
"21.9.R4","Gruner Veltiner",0,0,1,1,3.885,4.38
"28.7.R5","Refosco",0,0,1,1,3.415,5.75
"14.1.R5","Cabernet Sauvignon",0,0,1,1,4.28,5.755
"27.1.R1","Coda di Volpe",0,0,1,1,3.87,5.055
"20.4.R4","Viognier",0,0,1,1,2.4225,4.05
"19.9.R9","Syrah",0,0,1,1,3.2625,5.525
"18.1.R7","Cinsault",0,0,1,1,4.415,6.46
"44.1.R6","Ruby Seedless",0,0,1,1,5.215,6.71
"18.7.R1","Marsanne",0,1,1,1,3.245,5.26
"39.7.R8","Carnelian",1,1,1,1,3.69,7.32
"43.3.R3","July Muscat",0,0,1,1,4.9025,6.475
"19.7.R2","Roussanne",0,0,1,1,3.615,4.58
"18.5.R1","Durif1",0,0,0,0,4.5,6.535
"12.7.R6","Gamay Noir",0,1,1,1,4.6925,5.28
"13.3.R6","Pinot gris",0,0,1,1,2.775,10.77
"13.9.R3","Cabernet franc",0,0,1,1,3.33,5.44
"25.9.R1","Nebbiolo",0,0,1,1,3.6675,5.14
"28.7.R1","Refosco",0,0,1,1,3.21,4.945
"12.3.R5","Auxerrois",0,0,1,1,3.8,4.78
"21.9.R2","Gruner Veltiner",0,0,1,1,3.9375,5.1
"18.7.R8","Marsanne",0,0,1,1,2.2625,3.015
"20.2.R2","Valdepenas",0,0,1,1,2.5275,5.89
"22.9.R4","Durif2",0,0,1,1,4.3825,6.135
"43.3.R1","July Muscat",0,0,1,1,4.305,6.34
"29.7.R4","Tocai Friulano",0,0,1,1,3.6275,5.545
"12.5.R6","Chardonnay",0,0,1,1,2.03,5.46
"13.3.R7","Pinot gris",0,0,1,1,3.235,3.835
"13.5.R5","Pinot  Meunier",0,1,1,1,5.68,5.18
"27.1.R5","Coda di Volpe",0,0,1,1,3.56,7.38
"18.7.R3","Marsanne",0,0,1,1,4.335,5.12
"22.7.R2","Furmint",0,0,0,1,3.355,5.44
"21.9.R7","Gruner Veltiner",0,0,1,1,3.585,4.29
"15.3.R4","Merlot",0,0,1,1,3.2425,3.535
"32.7.R1","Pinotage",1,1,1,1,5.135,5.52
"32.5.R1","Rkatsiteli",0,0,1,1,3.4,5.58
"17.3.R8","Alicante Bouchet",0,0,1,1,3.08,6.34
"23.7.R8","Szagos feher",0,0,1,1,4.88,6.94
"32.3.R4","Zinfandel/Primitivo",0,0,1,1,4.695,8.25
"18.7.R7","Marsanne",0,0,1,1,4.385,5.585
"13.5.R1","Pinot  Meunier",0,1,1,1,4.4825,4.85
"26.6.R3","Sangiovese",0,0,1,1,3.91,5.68
"20.2.R1","Valdepenas",0,0,0,0,3.915,5.835
"23.7.R5","Szagos feher",0,0,1,1,4.36,4.59
"20.4.R5","Viognier",0,0,1,1,3.12,4.47
"43.3.R5","July Muscat",0,0,1,1,3.26,6.32
"12.3.R4","Auxerrois",0,0,1,1,3.15333333333333,4.275
"39.3.R3","Calzin",1,1,1,1,4.16,5.72
"23.7.R1","Szagos feher",0,0,1,1,3.005,7.16
"27.1.R2","Coda di Volpe",0,0,1,1,4.23,7.7
"18.3.R7","Counoise",0,0,1,1,4.075,7.37
"21.9.R5","Gruner Veltiner",0,0,1,1,4.205,5.63
"34.1.R5","Macabeo",0,0,1,1,3.185,5.05
"42.7.R3","Early Muscat",0,0,1,1,3.755,6.69
"39.7.R7","Carnelian",0,0,1,1,2.98,5.89
"34.5.R4","Morrastel",0,0,1,1,3.2075,5.89
"35.3.R4","Tempranillo",0,0,1,1,3.31,6.235
"18.7.R6","Marsanne",0,0,1,1,3.1275,6.27
"18.3.R5","Counoise",0,0,1,1,4.87,6.27
"12.3.R2","Auxerrois",0,1,1,1,4.02333333333333,6.325
"13.9.R6","Cabernet franc",0,0,1,1,4.49333333333333,5.905
"14.3.R7","Carmenere",0,0,1,1,3.96,6.405
"32.7.R3","Pinotage",0,1,1,1,3.99,5.79
"19.7.R5","Roussanne",0,0,1,1,3.245,6.31
"19.9.R3","Syrah",0,0,0,0,3.245,5.965
"18.1.R8","Cinsault",0,0,1,1,3.455,6.63
"34.5.R6","Morrastel",0,0,1,1,2.8825,5.375
"13.9.R7","Cabernet franc",0,0,1,1,3.8725,5.2
"20.5.R9","Gewurtztraminer",0,0,1,1,3.1,4.355
"26.6.R7","Sangiovese",0,0,1,1,3.225,3.81
"24.1.R5","Barbera",0,0,1,1,3.68,7.23
"29.7.R6","Tocai Friulano",0,0,1,1,4.505,5.905
"12.1.R4","Aligote",0,0,1,1,4.04666666666667,4.82
"22.7.R6","Furmint",0,0,1,1,3.305,7.34
"14.3.R6","Carmenere",0,0,1,1,3.655,7
"25.9.R5","Nebbiolo",0,0,1,1,4.475,5.34
"13.9.R4","Cabernet franc",0,0,1,1,3.8475,3.91
"12.5.R1","Chardonnay",0,0,1,1,NA,NA
"13.3.R4","Pinot gris",0,0,0,0,3.655,4.755
"13.3.R2","Pinot gris",0,0,1,1,2.96,3.91
"24.9.R7","Dolcetto",0,0,0,0,3.345,7.31
"14.1.R8","Cabernet Sauvignon",0,0,1,1,4.96,6.04
