"Date","RowNum","Num","Rep","RowNumNumRep","EL_stem1","EL_stem2","moist_1","moist_2","moist_3","notes","X","days","Var"
2016-08-23,32,5,"R1","32.5.R1",1,1,10.8,10.6,13.2,"",NA,8,"Rkatsiteli"
2016-08-23,17,3,"R8","17.3.R8",1,NA,11.1,10.7,10.8,"",NA,8,"Alicante Bouchet"
2016-08-23,23,7,"R8","23.7.R8",1,NA,11.1,12,10.6,"",NA,8,"Szagos feher"
2016-08-23,32,3,"R4","32.3.R4",1,NA,12.1,12,11.8,"",NA,8,"Zinfandel/Primitivo"
2016-08-23,18,7,"R7","18.7.R7",1,2,10.9,9.4,9.8,"",NA,8,"Marsanne"
2016-08-23,13,5,"R1","13.5.R1",1,1,11.5,11.6,12.3,"",NA,8,"Pinot  Meunier"
2016-08-23,26,6,"R3","26.6.R3",1,1,13,10.3,13,"",NA,8,"Sangiovese"
2016-08-23,20,2,"R1","20.2.R1",1,1,10.9,10.4,11.5,"",NA,8,"Valdepenas"
2016-08-23,23,7,"R5","23.7.R5",1,1,9.1,9.5,8.6,"",NA,8,"Szagos feher"
2016-08-23,20,4,"R5","20.4.R5",1,1,9.9,10.4,9.5,"",NA,8,"Viognier"
2016-08-23,43,3,"R5","43.3.R5",1,NA,10.5,9.6,9.9,"",NA,8,"July Muscat"
2016-08-23,12,3,"R4","12.3.R4",1,1,11.2,10.4,11.6,"",NA,8,"Auxerrois"
2016-08-23,39,3,"R3","39.3.R3",1,NA,11.1,11.2,11.5,"",NA,8,"Calzin"
2016-08-23,23,7,"R1","23.7.R1",1,NA,11.4,11.9,13.3,"",NA,8,"Szagos feher"
2016-08-23,NA,NA,"","UNLABELED 3",1,1,11.5,10.2,10.4,"",NA,8,NA
2016-08-23,27,1,"R2","27.1.R2",1,NA,13.5,11.8,11.6,"",NA,8,"Coda di Volpe"
2016-08-23,18,3,"R7","18.3.R7",1,NA,17.5,15.9,15,"",NA,8,"Counoise"
2016-08-23,NA,NA,"","UNLABELED 2",1,1,14,14,13.4,"",NA,8,NA
2016-08-23,21,9,"R5","21.9.R5",1,1,10.3,12.5,11.6,"",NA,8,"Gruner Veltiner"
2016-08-23,34,1,"R5","34.1.R5",1,1,11.1,10.2,11.1,"",NA,8,"Macabeo"
2016-08-23,42,7,"R3","42.7.R3",1,NA,10.8,11.5,10.3,"",NA,8,"Early Muscat"
2016-08-23,39,7,"R7","39.7.R7",2,NA,9.5,10.3,12.1,"",NA,8,"Carnelian"
2016-08-23,34,5,"R4","34.5.R4",1,1,13,12.1,12,"",NA,8,"Morrastel"
2016-08-23,35,3,"R4","35.3.R4",1,1,9.6,10.8,10.3,"",NA,8,"Tempranillo"
2016-08-23,18,7,"R6","18.7.R6",1,1,10.9,10.8,11.2,"",NA,8,"Marsanne"
2016-08-23,18,3,"R5","18.3.R5",1,NA,11.8,13.2,11.3,"",NA,8,"Counoise"
2016-08-23,12,3,"R2","12.3.R2",1,2,10.9,12.1,11.3,"",NA,8,"Auxerrois"
2016-08-23,13,9,"R6","13.9.R6",1,1,10.5,10.5,10.6,"",NA,8,"Cabernet franc"
2016-08-23,14,3,"R1","14.3.R7",1,1,11.3,9.9,11.2,"",NA,8,"Carmenere"
2016-08-23,32,7,"R3","32.7.R3",1,1,11.3,11.1,11.3,"",NA,8,"Pinotage"
2016-08-23,19,7,"R5","19.7.R5",1,NA,11.7,11.1,10.6,"",NA,8,"Roussanne"
2016-08-23,19,9,"R3","19.9.R3",1,1,13.8,10.9,11.9,"",NA,8,"Syrah"
