"plantID","variety","stage","doy","m","intercept","n"
"40.2","Emerald Reisling","budburst",75.7057556773688,2.00597102584182,61.6639584964761,7
"40.3","Flora","budburst",74.5498930862438,1.91936920883821,61.1143086243763,7
"40.4","Flora","budburst",74.9688144329897,1.75438144329897,62.6881443298969,6
"40.5","Glennel","budburst",76.1354088522131,1.96755438859715,62.362528132033,7
"40.6","Durif","budburst",NA,NA,NA,NA
"40.7","Helena","budburst",75.8724801183651,1.95441094877011,62.1916034769743,7
"40.8","Helena","budburst",76.8974605954466,1.85017513134851,63.946234676007,7
"40.9","Ruby Cabernet","budburst",NA,NA,NA,NA
"40.10","Ruby Cabernet","budburst",78.0746432491767,2.08649835345774,63.4691547749726,7
"41.1","Symphony","budburst",76.9020158203623,2.26703240622608,61.0327889767798,8
"41.2","Symphony","budburst",73.7748206599713,1.6512912482066,62.2157819225251,7
"41.3","Beauty Seedless","budburst",68.0564024390244,2.2304600886918,52.4431818181818,7
"41.4","Beauty Seedless","budburst",72.4513159787142,1.7043003020279,60.5212138645189,6
"41.5","Blush Seedless","budburst",80.33447265625,2.5810546875,62.26708984375,8
"41.6","Blush Seedless","budburst",77.7732656514383,2.09517766497462,63.1070219966159,7
"41.7","Canner","budburst",76.3995003406768,2.16227572109925,61.2635702929821,8
"41.8","Canner","budburst",76.3907878995044,1.83173816441634,63.56862074859,7
"41.9","Centennial Seedless","budburst",73.0835164835165,1.82802197802198,60.2873626373627,6
"41.10","Centennial Seedless","budburst",78.8097731239093,2.32984293193717,62.500872600349,8
"42.1","Christmas Rose","budburst",79.3305785123967,1.99276859504132,65.3811983471074,7
"42.2","Christmas Rose","budburst",75.8853894607467,1.76271316638501,63.5463972960516,7
"42.3","Dawn Seedless","budburst",76.6159623217923,2.31186354378819,60.4329175152749,8
"42.4","Dawn Seedless","budburst",77.7510330578512,2.32438016528926,61.4803719008264,8
"42.5","Delight","budburst",72.728435947614,1.75289778714436,60.4581514376035,7
"42.6","Delight","budburst",71.3966452886039,1.83744449925999,58.5345337937839,7
"42.7","Early Muscat","budburst",62.7241939225238,1.88552540013918,49.5255161215495,7
"42.8","Early Muscat","budburst",67.6193803159174,1.91281895504253,54.2296476306197,6
"42.9","Emerald Seedless","budburst",78.9133310128785,1.79498781761225,66.3484162895928,7
"42.10","Emerald Seedless","budburst",82.5489421064869,2.4638456172983,65.3020227853987,8
"43.1","Gold","budburst",77.915220293725,1.96862483311082,64.1348464619493,7
"43.2","Gold","budburst",75.2876768226333,2.37649619151251,58.6522034820457,8
"43.3","July Muscat","budburst",71.939483394834,1.74088560885609,59.7532841328413,7
"43.4","July Muscat","budburst",73.9693375111907,1.75716204118174,61.6692032229185,7
"43.5","Durif","budburst",NA,NA,NA,NA
"43.6","Perlette","budburst",73.4079721044715,1.66819362778613,61.7306167099686,7
"43.7","Queen","budburst",74.7866430260047,1.72783687943262,62.6917848699764,7
"43.8","Queen","budburst",75.6604249667995,1.65219123505976,64.0950863213811,7
"43.9","Durif","budburst",NA,NA,NA,NA
"43.10","Durif","budburst",NA,NA,NA,NA
"44.1","Ruby Seedless","budburst",77.3911468457325,1.9066089415091,64.0448842551688,7
"44.2","Ruby Seedless","budburst",75.931696496864,1.78820559889858,63.414257304574,7
"44.3","Durif","budburst",NA,NA,NA,NA
"44.4","Durif","budburst",NA,NA,NA,NA
"44.5","Niabell","budburst",79.6207446384438,2.53169098301842,61.8989077573148,8
"44.6","Niabell","budburst",81.212833545108,2.47299872935197,63.9018424396442,8
"44.7","Durif","budburst",83.085799846786,2.33727975485758,66.7248415627829,8
"44.8","Durif","budburst",NA,NA,NA,NA
"44.9","Rubired","budburst",75.5138450102212,1.94573499349563,61.8937000557517,7
"44.10","Rubired","budburst",76.1904253425877,1.92311799252536,62.7285993949101,7
"45.1","Scarlett","budburst",75.5084911184853,2.01005270349405,61.4381221940269,7
"45.2","Scarlett","budburst",77.3651452282158,2.30290456431535,61.2448132780083,7
